Wall time,Step,Value
1519902247.03269,2224820,41
1519902313.49475,2232080,41
1519902337.68567,2234700,60
1519902573.78072,2260300,49
1519902580.5421,2261040,43
1519902617.51976,2265100,31
1519902730.87893,2277440,44
1519902863.68758,2291940,54
1519902881.60704,2293840,20
1519902909.44503,2296820,54
1519902936.19349,2299800,30
1519903000.75581,2306740,43
1519903133.34775,2321440,62
1519903169.72559,2325480,50
1519903259.17912,2335320,53
1519903263.18477,2335740,43
1519903282.58467,2337900,53
1519903327.51778,2342900,51
1519903389.60363,2349760,60
1519903454.80237,2356960,66
1519903479.64531,2359700,43
1519903545.36669,2366940,82
1519903692.66366,2383280,42
1519903740.47263,2388560,53
1519903853.24556,2400780,45
1519903858.72583,2401380,43
1519903923.45198,2408560,45
1519904050.79449,2422640,67
1519904053.46951,2422920,66
1519904171.32778,2436000,42
1519904245.30831,2444140,60
1519904248.19602,2444480,43
1519904274.35855,2447380,33
1519904311.95284,2451520,56
1519904312.81722,2451600,35
1519904377.32427,2458760,51
1519904394.42182,2460660,41
1519904441.02541,2465860,57
1519904471.09949,2469200,42
1519904506.33196,2473100,45
1519904569.72097,2480140,44
1519904634.59125,2487300,56
1519904768.83542,2501800,47
1519904801.63171,2505440,41
1519904834.02929,2509040,32
1519904898.9873,2516220,32
1519904931.19323,2519800,46
1519904963.58564,2523400,74
1519905013.02326,2528820,63
1519905064.64669,2534540,53
1519905092.48657,2537660,54
1519905113.43724,2540000,59
1519905281.15192,2558520,44
1519905356.08878,2566840,32
1519905418.2242,2573760,43
1519905486.29158,2581220,54
1519905546.85866,2587980,47
1519905586.90337,2592400,56
1519905718.59077,2606820,42
1519905742.55138,2609460,58
1519905782.72083,2613920,57
1519905944.58109,2631800,58
1519906291.10016,2670200,63
1519906325.59538,2674060,53
1519906350.84446,2676860,58
1519906368.85874,2678860,46
1519906396.79968,2681940,66
1519906434.57652,2686100,33
1519906454.38945,2688300,47
1519906614.53318,2705680,78
1519906707.67844,2715940,44
1519906858.91078,2732700,55
1519906923.77315,2739900,55
1519907023.51481,2750880,57
1519907043.33772,2753100,50
1519907109.8123,2760460,60
1519907198.59882,2770220,76
1519907226.1901,2773240,63
1519907317.89261,2783400,69
1519907400.4754,2792500,55
1519907420.27269,2794700,57
1519907446.62527,2797660,67
1519907450.87283,2798100,79
1519907649.93942,2819900,65
1519907680.93942,2823340,65
1519907828.5861,2839660,55
1519908005.26272,2859140,47
1519908078.68208,2867280,56
1519908272.011,2888600,18
1519908285.7372,2890080,33
1519908773.15517,2944340,68
1519908824.13724,2950020,76
1519908847.57708,2952680,57
1519908947.76039,2963980,45
1519909028.88712,2973040,60
1519909039.56506,2974240,69
1519909069.49139,2977620,66
1519909106.142,2981740,84
1519909175.53442,2989540,71
1519909188.50338,2991000,50
1519909198.60156,2992120,54
1519909288.73339,3002080,63
1519909318.80044,3005460,65
1519909368.31923,3011060,69
1519909553.81489,3031900,95
1519909638.20946,3041320,78
1519909653.8107,3043080,77
1519909681.91014,3046200,68
1519909832.58657,3063120,75
1519909936.6785,3074840,66
1519909974.12312,3079020,66
1519910065.04056,3089160,59
1519910101.68267,3093100,77
1519910105.36346,3093520,60
1519910235.74824,3107920,88
1519910321.25613,3117460,79
1519910339.19133,3119500,82
1519910423.44489,3128980,61
1519910580.50166,3146600,64
1519910581.09799,3146660,85
1519910622.79727,3151400,69
1519910680.22348,3157840,87
1519910723.36738,3162700,86
1519910772.33164,3168200,47
1519910809.78877,3172400,69
1519911073.80064,3201780,58
1519911093.99864,3204040,78
1519911159.59289,3211460,67
1519911174.84659,3213180,68
1519911203.38922,3216340,48
1519911220.07915,3218220,88
1519911260.24766,3222720,58
1519911414.75902,3240140,90
1519911432.62509,3242100,47
1519911538.64999,3254020,66
1519911588.40601,3259620,78
1519911602.49147,3261200,67
1519911670.61249,3268860,68
1519911729.77557,3275560,75
1519911798.7229,3283240,33
1519911948.67596,3299900,71
1519911963.43938,3301320,60
1519911994.87244,3304860,56
1519912163.55312,3323860,61
1519912234.87897,3331880,56
1519912444.51115,3355340,62
1519912562.22394,3368680,78
1519912599.66709,3372940,58
1519912605.2321,3373560,63
1519912634.08137,3376800,83
1519912668.71066,3380740,72
1519912683.28697,3382320,74
1519912697.65146,3383960,32
1519912798.23855,3395340,66
1519912805.93951,3396200,59
1519912992.15393,3416940,70
1519912999.83579,3417800,60
1519913047.01985,3423120,80
1519913082.54095,3427120,76
1519913106.16234,3429740,59
1519913185.90844,3438600,47
1519913250.88436,3445780,68
1519913334.06348,3455020,66
1519913396.22453,3461900,59
1519913433.5666,3466060,61
1519913498.66539,3473220,68
1519913561.77582,3480200,58
1519913565.06868,3480540,69
1519913575.91666,3481740,47
1519913595.80839,3483880,70
1519913657.9477,3490640,78
1519913831.85903,3509100,69
1519913863.50651,3512560,59
1519914277.14716,3557060,58
1519914322.62101,3562020,60
1519914366.47968,3566780,50
1519914409.3833,3571380,58
1519914461.10085,3576940,32
1519914544.79986,3585680,85
1519914712.63927,3602860,77
1519914893.41246,3621500,81
1519914946.95087,3627340,68
1519915198.66439,3653140,77
1519915234.74412,3656840,79
1519915240.88272,3657440,71
1519915247.44503,3658160,57
1519915373.38423,3671280,84
1519915566.89559,3690680,67
1519915686.81581,3702700,96
1519915789.82747,3713500,56
1519915923.20742,3727420,88
1519915950.56725,3730160,50
1519916142.45116,3749420,80
1519916180.7996,3753080,65
1519916190.94758,3754080,48
1519916358.40811,3769940,66
1519916370.17501,3771120,80
1519916382.34296,3772300,60
1519916534.76129,3787640,54
1519916601.87449,3794140,58
1519916895.2785,3823720,68
1519916955.75566,3829960,69
1519917008.71027,3835440,72
1519917030.87415,3837720,65
1519917070.00897,3841900,49
1519917082.38515,3843260,95
1519917116.43009,3846820,88
1519917163.98976,3851660,46
1519917193.41447,3854640,65
1519917237.78258,3859340,59
1519917324.26713,3868200,68
1519917422.06295,3878700,76
1519917791.28565,3919200,47
1519917838.14702,3924420,72
1519917886.97346,3929900,72
1519918440.85515,3983020,68
1519918512.69892,3990220,60
1519918609.45361,4000820,61
1519918618.01421,4001780,81
1519918643.65874,4004560,60
1519918808.56343,4022340,66
1519918835.27943,4025300,78
1519919006.63316,4043980,66
1519919021.24885,4045600,64
1519919230.12697,4068320,57
1519919271.95935,4072940,68
1519919279.55156,4073740,67
1519919296.01608,4075580,48
1519919364.11571,4083060,100
1519919625.33688,4111640,77
1519919633.15802,4112460,77
1519919662.67175,4115700,70
1519919867.81823,4137820,75
1519919898.95857,4141220,67
1519919983.20261,4150500,67
1519920129.03071,4166420,60
1519920196.07148,4173700,60
1519920246.7342,4179320,59
1519920256.6193,4180400,69
1519920379.34015,4193840,57
1519920468.07168,4203420,35
1519920642.47173,4222580,68
1519920656.1285,4224100,68
1519920664.80242,4225060,42
1519920684.61426,4227260,33
1519920718.47574,4231020,59
1519920786.5364,4238480,54
1519920851.82278,4245660,70
1519920880.19849,4248640,62
1519921011.83521,4262940,85
1519921047.99626,4266900,46
1519921103.15935,4272940,58
1519921296.35593,4294500,58
1519921427.50939,4308880,70
1519921599.78832,4327780,77
1519921715.09194,4340700,71
1519921881.26119,4359340,74
1519921951.63987,4367280,70
1519922074.15516,4381020,67
1519922080.62644,4381700,49
1519922159.68021,4390120,70
1519922222.8949,4397240,60
1519922241.61657,4399360,68
1519922314.71272,4407320,60
1519922373.82262,4413940,68
1519922469.26206,4424660,65
1519922481.70362,4426080,78
1519922501.36649,4428320,59
1519922608.74968,4440340,68
1519922702.8195,4450700,72
1519922745.53481,4455500,68
1519922758.37237,4456960,67
1519922802.98743,4461980,54
1519922853.26181,4467640,44
1519922895.78029,4472380,57
1519922917.79974,4474840,60
1519923089.76434,4493680,70
1519923135.20682,4498720,67
1519923202.94457,4506060,73
1519923287.39636,4515580,69
1519923415.14681,4529880,73
1519923565.45083,4546660,76
1519923605.62429,4551140,89
1519923630.00475,4553880,88
1519923650.79269,4556220,60
1519923674.64338,4558920,58
1519923721.08773,4563600,88
1519923867.13799,4579840,98
1519923979.7363,4592520,57
1519924090.71833,4604700,59
1519924150.18056,4611400,69
1519924243.30786,4621920,67
1519924364.59263,4635560,80
1519924370.58271,4636220,89
1519924390.37054,4638420,79
1519924404.74027,4640060,74
1519924427.86237,4642660,80
1519924466.72503,4647100,70
1519924492.94221,4649900,62
1519924493.57037,4649960,70
1519924498.3313,4650460,78
1519924521.44473,4653060,105
1519924810.91257,4685720,76
1519924832.85301,4688200,78
1519924875.47172,4693020,69
1519924941.81511,4700380,73
1519925006.67435,4707640,61
1519925042.95415,4711700,62
1519925091.83665,4717260,60
1519925156.17222,4724500,70
1519925220.07862,4731740,68
1519925324.10028,4743300,80
1519925737.06263,4789880,89
1519925770.35523,4793700,86
1519925773.37694,4794000,62
1519925801.43366,4797160,69
1519925900.58072,4808080,82
1519925965.21735,4815360,75
1519926012.28888,4820680,71
1519926251.24102,4847600,68
1519926253.90407,4847900,73
1519926291.33054,4852000,70
1519926317.56643,4854900,80
1519926478.03084,4872960,80
1519926509.56718,4876540,64
1519926586.36703,4885160,70
1519926650.45094,4892360,79
1519926833.45674,4912800,77
1519926989.08055,4930380,80
1519927037.32384,4935780,81
1519927054.77568,4937760,67
1519927154.8699,4949040,86
1519927215.94763,4956000,82
1519927319.77627,4967660,72
1519927375.32934,4973940,61
1519927447.24567,4982060,70
1519927474.43538,4985080,72
1519927566.92096,4995500,64
1519927692.80813,5009400,99
1519927757.54894,5016760,67
1519927781.4096,5019440,74
1519927803.5693,5021960,78
1519927929.72668,5036280,68
1519927961.31,5039820,77
1519928010.34978,5045300,74
1519928100.3171,5055220,90
1519928140.75035,5059780,63
1519928158.13428,5061740,76
1519928204.51241,5066920,83
1519928339.71363,5081960,70
1519928382.47656,5086800,76
1519928399.50538,5088740,74
1519928440.43548,5093300,72
1519928505.23223,5100300,87
1519928646.7652,5115740,73
1519928661.75878,5117400,68
1519928703.80277,5122020,101
1519928813.45365,5134060,73
1519928857.73418,5138880,70
1519929189.20651,5174880,70
1519929212.27511,5177400,81
1519929233.39475,5179740,88
1519929302.02752,5187120,81
1519929338.74564,5191140,80
1519929410.50478,5198920,79
1519929473.43682,5205520,90
1519929855.40219,5246700,92
1519929931.44126,5254780,71
1519929944.70003,5256200,105
1519929974.32087,5259360,71
1519930262.13472,5290380,60
1519930333.27675,5298060,77
1519930373.43271,5302200,81
1519930376.9307,5302600,99
1519930458.40672,5311340,71
1519930550.46916,5321200,60
1519930791.3793,5347220,78
1519930815.91702,5349880,62
1519930858.58534,5354500,77
1519930865.27386,5355200,75
1519930937.27674,5362980,73
1519931532.48805,5427180,72
1519931580.23158,5432320,79
1519931663.1528,5441320,90
1519931978.63575,5475240,78
1519932057.94095,5483860,80
1519932113.7667,5489880,84
1519932258.02778,5505300,87
1519932314.9413,5511460,83
1519932324.43398,5512500,71
1519932522.92882,5534100,79
1519932613.04487,5543880,70
1519932658.61803,5548880,79
1519932716.49463,5555140,91
1519932811.96394,5565480,68
1519932858.17056,5570520,81
1519932917.95374,5576900,90
1519932922.01848,5577300,80
1519932932.31408,5578440,82
1519932972.85657,5582820,70
1519933025.19106,5588500,81
1519933054.10581,5591660,83
1519933064.73797,5592800,97
1519933117.03988,5598440,71
1519933185.14776,5605660,70
1519933251.27327,5612800,72
1519933263.58949,5614160,61
1519933528.45146,5642560,78
1519933788.48065,5670680,94
1519933851.29784,5677520,89
1519933994.70079,5693060,89
1519934012.88425,5695020,80
1519934051.38625,5699160,70
1519934061.94245,5700220,79
1519934080.57484,5702120,90
1519934094.29061,5703620,90
1519934184.21085,5713420,89
1519934226.31831,5717960,100
1519934261.32275,5721780,80
1519934319.49125,5728060,81
1519934358.82615,5732340,90
1519934584.4401,5756740,79
1519934584.72379,5756780,88
1519934746.16936,5774160,73
1519934848.66998,5785300,80
1519935115.47835,5814040,82
1519935190.83127,5822200,71
1519935318.87841,5835980,93
1519935319.85399,5836080,84
1519935513.57034,5857160,101
1519935579.01158,5864360,86
1519935715.61013,5879300,99
1519935760.01232,5884120,70
1519935825.83539,5891320,92
1519935977.3742,5907720,75
1519936091.57563,5920260,70
1519936246.49181,5937140,97
1519936304.64398,5943520,81
1519936306.50329,5943740,72
1519936369.91584,5950640,71
1519936503.4494,5965320,83
1519936565.98482,5972200,91
1519936643.58326,5980680,71
1519936668.4056,5983380,74
1519936973.80848,6016740,73
1519936975.33476,6016920,93
1519937130.88741,6033900,80
1519937167.45822,6037960,90
1519937286.84234,6051120,92
1519937366.38279,6059900,78
1519937597.63205,6085360,71
1519937629.45972,6088840,78
1519937683.93617,6094880,71
1519937766.74343,6103800,81
1519937994.32737,6128800,99
1519938027.81191,6132520,92
1519938028.42136,6132600,70
1519938115.07498,6142120,94
1519938419.44176,6175580,90
1519938480.89931,6182300,91
1519938549.54341,6189840,89
1519938553.69979,6190280,81
1519938573.53928,6192500,79
1519938786.86741,6215720,88
1519938811.80584,6218460,62
1519938851.91112,6222920,110
1519938866.28289,6224460,81
1519938946.37462,6233120,74
1519939147.19053,6255260,82
1519939178.73858,6258680,71
1519939245.49408,6266040,62
1519939270.90283,6268820,69
1519939337.03182,6276080,81
1519939344.11375,6276820,73
1519939583.07171,6302860,77
1519939586.00489,6303180,83
1519939667.57519,6312220,82
1519939676.46488,6313200,81
1519939734.66742,6319620,89
1519939776.54451,6324220,91
1519939864.3923,6333940,112
1519940033.45384,6352620,83
1519940039.61817,6353280,82
1519940146.29324,6365020,72
1519940236.51188,6374900,75
1519940257.5771,6377180,72
1519940278.72712,6379500,73
1519940300.04287,6381840,79
1519940427.25948,6395740,82
1519940433.11437,6396380,92
1519940479.97984,6401260,82
1519940545.14392,6408280,82
1519940592.97432,6413420,92
1519940628.4511,6417240,79
1519941101.85066,6468440,82
1519941168.34871,6475700,89
1519941193.20573,6478380,62
1519941213.50501,6480600,102
1519941233.57554,6482800,80
1519941234.07219,6482860,76
1519941386.73247,6499400,99
1519941454.86908,6506580,79
1519941493.87105,6510760,83
1519941500.78056,6511520,90
1519941522.89695,6513940,94
1519941566.98325,6518680,84
1519941825.10362,6546620,80
1519941999.81685,6565320,89
1519942035.80887,6569120,98
1519942064.24095,6572160,82
1519942133.51549,6579400,80
1519942164.72691,6582720,87
1519942196.63208,6586040,72
1519942371.51111,6604340,74
1519942400.59604,6607380,105
1519942476.36901,6615460,98
1519942506.57794,6618460,84
1519942509.77959,6618780,84
1519942539.09093,6621920,78
1519942680.62666,6636940,74
1519942710.70284,6640120,71
1519942718.92085,6640980,100
1519942743.78295,6643580,83
1519942772.27922,6646620,74
1519942909.54783,6661100,89
1519943057.23131,6676720,96
1519943395.50945,6712580,92
1519943428.00631,6716080,101
1519943454.19548,6718860,97
1519943467.77142,6720300,74
1519943529.73168,6726960,73
1519943664.73392,6741380,70
1519943668.96299,6741840,78
1519943692.43618,6744320,61
1519943867.4443,6763020,94
1519944137.40927,6791840,81
1519944162.86962,6794600,106
1519944309.34016,6809680,72
1519944411.85191,6820380,72
1519944599.21809,6838060,72
1519944712.66366,6850300,73
1519944830.82665,6861360,79
1519944898.54702,6868600,84
1519945091.61783,6889200,72
1519945103.31998,6890400,81
1519945115.00148,6891640,69
1519945220.43536,6902780,73
1519945239.2604,6904840,95
1519945317.11563,6913300,102
1519945353.73935,6917240,103
1519945646.09212,6947880,84
1519945669.73259,6950280,85
1519945771.38739,6960780,92
1519945874.25624,6971280,80
1519946058.66184,6991200,83
1519946134.69233,6999200,81
1519946217.5856,7007800,82
1519946565.71077,7042120,82
1519946615.09846,7047460,84
1519946747.62494,7061820,83
1519946912.52781,7079600,71
1519947031.16864,7092240,98
1519947170.82208,7107000,110
1519947233.88484,7113740,71
1519947264.65601,7117060,79
1519947286.5378,7119400,74
1519947456.78585,7136940,91
1519947513.87191,7142760,87
1519947569.57805,7148420,93
1519947637.12577,7155520,84
1519947802.8148,7172720,84
1519947925.42777,7185560,102
1519948141.86733,7208760,93
1519948217.46079,7217020,72
